Run_ID,Training_Time,Gamma,Learning_Rate
1,14.573181390762329,0.95,0.001
2,14.17446231842041,0.95,0.001
3,14.921322584152222,0.95,0.001
4,15.37252950668335,0.95,0.001
5,15.276571273803711,0.95,0.001
6,15.213886976242065,0.95,0.001
7,15.163264274597168,0.95,0.001
8,15.12490725517273,0.95,0.001
9,15.22687578201294,0.95,0.001
10,15.357420206069946,0.95,0.001
11,15.409564018249512,0.95,0.001
12,15.233479738235474,0.95,0.001
13,15.137490510940552,0.95,0.001
14,15.092586040496826,0.95,0.001
15,15.125050783157349,0.95,0.001
16,15.208869218826294,0.95,0.001
17,15.278554201126099,0.95,0.001
18,15.196446418762207,0.95,0.001
19,15.154376745223999,0.95,0.001
20,15.280852794647217,0.95,0.001
21,15.11377501487732,0.95,0.001
22,15.333037853240967,0.95,0.001
23,15.162474870681763,0.95,0.001
24,15.34999394416809,0.95,0.001
25,15.402265787124634,0.95,0.001
26,15.296311140060425,0.95,0.001
27,15.224947690963745,0.95,0.001
28,15.299683094024658,0.95,0.001
29,15.259994506835938,0.95,0.001
30,15.213134050369263,0.95,0.001
Average,15.172576999664306,0.95,0.001
