Run_ID,Training_Time,Gamma,Learning_Rate
1,14.888208389282227,0.9,0.001
1,15.083832025527954,0.9,0.001
2,13.812726259231567,0.9,0.001
3,13.726258039474487,0.9,0.001
4,14.14240288734436,0.9,0.001
5,13.69215202331543,0.9,0.001
6,13.661454439163208,0.9,0.001
7,13.700056076049805,0.9,0.001
8,13.690732479095459,0.9,0.001
9,14.013730525970459,0.9,0.001
10,14.518433094024658,0.9,0.001
11,13.371612310409546,0.9,0.001
12,13.944534540176392,0.9,0.001
13,13.77402377128601,0.9,0.001
14,13.613311529159546,0.9,0.001
15,13.906148433685303,0.9,0.001
16,15.621238470077515,0.9,0.001
17,14.739185571670532,0.9,0.001
18,14.613544940948486,0.9,0.001
19,14.528650045394897,0.9,0.001
20,15.200681686401367,0.9,0.001
21,14.742753267288208,0.9,0.001
22,14.752466678619385,0.9,0.001
23,14.910826683044434,0.9,0.001
24,14.898182392120361,0.9,0.001
25,14.882394790649414,0.9,0.001
26,15.87447714805603,0.9,0.001
27,16.10762119293213,0.9,0.001
28,15.595663070678711,0.9,0.001
29,16.70555830001831,0.9,0.001
30,15.629392862319946,0.9,0.001
Average,14.591685610432778,0.9,0.001
