Run_ID,Training_Time,Learning_Rate
1,14.756459474563599,0.0005
2,13.520097494125366,0.0005
3,14.294670820236206,0.0005
4,14.223896980285645,0.0005
5,13.8856041431427,0.0005
6,14.224440336227417,0.0005
7,14.11920166015625,0.0005
8,13.728962421417236,0.0005
9,14.141613483428955,0.0005
10,14.01754903793335,0.0005
11,13.838989496231079,0.0005
12,13.876110076904297,0.0005
13,13.810597658157349,0.0005
14,13.867696285247803,0.0005
15,14.264363765716553,0.0005
16,14.47673225402832,0.0005
17,14.553547143936157,0.0005
18,14.473997116088867,0.0005
19,15.326876640319824,0.0005
20,18.004159212112427,0.0005
21,20.158543348312378,0.0005
22,15.512690544128418,0.0005
23,15.900211572647095,0.0005
24,14.526946544647217,0.0005
25,12.925509929656982,0.0005
26,13.127212047576904,0.0005
27,12.337984800338745,0.0005
28,12.176210403442383,0.0005
29,12.139081478118896,0.0005
30,12.157436847686768,0.0005
Average,14.278913100560507,0.0005
1,14.526007652282715,0.0005
2,13.330236911773682,0.0005
3,14.091918468475342,0.0005
4,13.861587524414062,0.0005
5,13.82924199104309,0.0005
Average,14.228753873280116,0.0005
