Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size
1,11.74770188331604,0.95,0.001,16,5000
2,10.96530818939209,0.95,0.001,16,5000
3,11.020668268203735,0.95,0.001,16,5000
4,11.413831233978271,0.95,0.001,16,5000
5,11.058144807815552,0.95,0.001,16,5000
6,11.63426160812378,0.95,0.001,16,5000
7,11.463061332702637,0.95,0.001,16,5000
8,11.037023305892944,0.95,0.001,16,5000
9,10.928565502166748,0.95,0.001,16,5000
10,10.842767715454102,0.95,0.001,16,5000
Average,11.21113338470459,0.95,0.001,16,5000
1,11.434993743896484,0.95,0.001,16,5000
2,10.942716360092163,0.95,0.001,16,5000
3,11.57841157913208,0.95,0.001,16,5000
4,12.39738655090332,0.95,0.001,16,5000
5,12.21108078956604,0.95,0.001,16,5000
6,12.166194200515747,0.95,0.001,16,5000
7,12.178306818008423,0.95,0.001,16,5000
8,12.561466693878174,0.95,0.001,16,5000
9,12.242526769638062,0.95,0.001,16,5000
10,12.227665662765503,0.95,0.001,16,5000
Average,11.602604150772095,0.95,0.001,16,5000
1,11.60891604423523,0.95,0.001,16,5000
2,10.884297132492065,0.95,0.001,16,5000
3,10.714212417602539,0.95,0.001,16,5000
4,12.3309166431427,0.95,0.001,16,5000
5,12.252784967422485,0.95,0.001,16,5000
6,12.548728227615356,0.95,0.001,16,5000
7,12.348008155822754,0.95,0.001,16,5000
8,12.2038414478302,0.95,0.001,16,5000
9,12.191218614578247,0.95,0.001,16,5000
10,12.240421772003174,0.95,0.001,16,5000
Average,11.712514281272888,0.95,0.001,16,5000
1,11.564849853515625,0.95,0.001,16,5000
2,10.864586591720581,0.95,0.001,16,5000
3,10.853405952453613,0.95,0.001,16,5000
4,12.078017473220825,0.95,0.001,16,5000
5,12.687288761138916,0.95,0.001,16,5000
6,12.270905256271362,0.95,0.001,16,5000
7,12.25939679145813,0.95,0.001,16,5000
8,12.363868474960327,0.95,0.001,16,5000
9,12.43522572517395,0.95,0.001,16,5000
10,12.406759977340698,0.95,0.001,16,5000
Average,11.778993332386017,0.95,0.001,16,5000
1,11.552743434906006,0.95,0.001,16,5000
2,11.134348392486572,0.95,0.001,16,5000
3,10.738326787948608,0.95,0.001,16,5000
4,11.66983437538147,0.95,0.001,16,5000
5,10.826120853424072,0.95,0.001,16,5000
6,10.581738710403442,0.95,0.001,16,5000
7,10.829817056655884,0.95,0.001,16,5000
8,10.732630014419556,0.95,0.001,16,5000
9,10.916983127593994,0.95,0.001,16,5000
10,10.882968664169312,0.95,0.001,16,5000
11,10.752812147140503,0.95,0.001,16,5000
12,10.700487613677979,0.95,0.001,16,5000
13,10.96629810333252,0.95,0.001,16,5000
14,10.942567586898804,0.95,0.001,16,5000
15,11.062911987304688,0.95,0.001,16,5000
16,11.097048282623291,0.95,0.001,16,5000
17,11.105056524276733,0.95,0.001,16,5000
18,11.259950160980225,0.95,0.001,16,5000
19,11.044475555419922,0.95,0.001,16,5000
20,11.10086965560913,0.95,0.001,16,5000
21,11.402767896652222,0.95,0.001,16,5000
22,11.454755067825317,0.95,0.001,16,5000
23,11.540814638137817,0.95,0.001,16,5000
24,11.499589920043945,0.95,0.001,16,5000
25,11.409698724746704,0.95,0.001,16,5000
26,11.642448663711548,0.95,0.001,16,5000
27,11.841129541397095,0.95,0.001,16,5000
28,13.063458442687988,0.95,0.001,16,5000
29,12.906610012054443,0.95,0.001,16,5000
30,12.082220315933228,0.95,0.001,16,5000
Average,11.57001736504691,0.95,0.001,16,5000
