Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size
1,11.542988300323486,0.9,0.001,16,5000
2,11.203078746795654,0.9,0.001,16,5000
3,11.447635889053345,0.9,0.001,16,5000
4,11.085044384002686,0.9,0.001,16,5000
5,11.203284740447998,0.9,0.001,16,5000
Average,11.296406412124634,0.9,0.001,16,5000
1,11.836656332015991,0.9,0.001,16,5000
2,10.890258073806763,0.9,0.001,16,5000
3,11.04049301147461,0.9,0.001,16,5000
4,10.83469009399414,0.9,0.001,16,5000
5,10.81632947921753,0.9,0.001,16,5000
6,10.770097970962524,0.9,0.001,16,5000
7,10.87846326828003,0.9,0.001,16,5000
8,10.857086181640625,0.9,0.001,16,5000
9,10.880837440490723,0.9,0.001,16,5000
10,10.941579341888428,0.9,0.001,16,5000
11,10.904701232910156,0.9,0.001,16,5000
12,11.206398963928223,0.9,0.001,16,5000
13,10.88837194442749,0.9,0.001,16,5000
14,11.627133131027222,0.9,0.001,16,5000
15,10.951525688171387,0.9,0.001,16,5000
16,10.864426374435425,0.9,0.001,16,5000
17,10.968335390090942,0.9,0.001,16,5000
18,11.004631280899048,0.9,0.001,16,5000
19,11.209656000137329,0.9,0.001,16,5000
20,11.467391014099121,0.9,0.001,16,5000
21,12.770841598510742,0.9,0.001,16,5000
22,12.35920763015747,0.9,0.001,16,5000
23,10.845388174057007,0.9,0.001,16,5000
24,10.926286697387695,0.9,0.001,16,5000
25,11.402353763580322,0.9,0.001,16,5000
26,11.17904257774353,0.9,0.001,16,5000
27,10.89188027381897,0.9,0.001,16,5000
28,11.256160259246826,0.9,0.001,16,5000
29,10.977373838424683,0.9,0.001,16,5000
30,11.28939175605774,0.9,0.001,16,5000
Average,11.177686309814453,0.9,0.001,16,5000
1,11.719504117965698,0.9,0.001,16,5000
2,11.179755926132202,0.9,0.001,16,5000
3,11.591283798217773,0.9,0.001,16,5000
4,11.487222909927368,0.9,0.001,16,5000
5,11.65072774887085,0.9,0.001,16,5000
6,10.91643476486206,0.9,0.001,16,5000
7,10.355788707733154,0.9,0.001,16,5000
8,10.332593202590942,0.9,0.001,16,5000
9,10.368834018707275,0.9,0.001,16,5000
10,10.201456785202026,0.9,0.001,16,5000
11,10.260772943496704,0.9,0.001,16,5000
12,10.200860500335693,0.9,0.001,16,5000
13,10.30008339881897,0.9,0.001,16,5000
14,10.43406629562378,0.9,0.001,16,5000
15,10.184841632843018,0.9,0.001,16,5000
16,10.50484323501587,0.9,0.001,16,5000
17,10.261566877365112,0.9,0.001,16,5000
18,10.320335388183594,0.9,0.001,16,5000
19,10.27547287940979,0.9,0.001,16,5000
20,10.383933067321777,0.9,0.001,16,5000
21,10.502670049667358,0.9,0.001,16,5000
22,10.3974609375,0.9,0.001,16,5000
23,10.283456563949585,0.9,0.001,16,5000
24,10.75435757637024,0.9,0.001,16,5000
25,11.575396537780762,0.9,0.001,16,5000
26,10.686886548995972,0.9,0.001,16,5000
27,11.597810745239258,0.9,0.001,16,5000
28,11.551433324813843,0.9,0.001,16,5000
29,11.150152683258057,0.9,0.001,16,5000
30,11.684515237808228,0.9,0.001,16,5000
31,10.750125169754028,0.9,0.001,16,5000
32,11.462586641311646,0.9,0.001,16,5000
33,11.651735782623291,0.9,0.001,16,5000
34,12.123918056488037,0.9,0.001,16,5000
35,11.784010410308838,0.9,0.001,16,5000
36,11.625108242034912,0.9,0.001,16,5000
37,12.05966591835022,0.9,0.001,16,5000
38,12.296260833740234,0.9,0.001,16,5000
39,12.3203706741333,0.9,0.001,16,5000
40,11.74103832244873,0.9,0.001,16,5000
41,11.811132907867432,0.9,0.001,16,5000
42,12.571463823318481,0.9,0.001,16,5000
43,12.890465259552002,0.9,0.001,16,5000
44,12.806825876235962,0.9,0.001,16,5000
45,12.760650396347046,0.9,0.001,16,5000
46,12.614496946334839,0.9,0.001,16,5000
47,12.596991062164307,0.9,0.001,16,5000
48,13.454574584960938,0.9,0.001,16,5000
49,12.580037117004395,0.9,0.001,16,5000
