Run_ID,Training_Time,Learning_Rate,Batch_Size,Memory_Size
1,10.68754506111145,0.001,16,5000
2,10.53007459640503,0.001,16,5000
3,10.72551703453064,0.001,16,5000
4,10.623992204666138,0.001,16,5000
5,10.488770723342896,0.001,16,5000
Average,10.61117992401123,0.001,16,5000
1,12.303664922714233,0.001,16,5000
2,12.070032835006714,0.001,16,5000
3,11.573092937469482,0.001,16,5000
4,12.268937826156616,0.001,16,5000
5,12.628570318222046,0.001,16,5000
6,12.718211650848389,0.001,16,5000
7,11.947618246078491,0.001,16,5000
8,12.54328989982605,0.001,16,5000
9,14.486988067626953,0.001,16,5000
10,12.261275291442871,0.001,16,5000
11,12.031906604766846,0.001,16,5000
12,11.689831733703613,0.001,16,5000
13,11.688259601593018,0.001,16,5000
14,13.956031322479248,0.001,16,5000
15,14.434150457382202,0.001,16,5000
16,12.960387229919434,0.001,16,5000
17,12.67714548110962,0.001,16,5000
18,12.447156429290771,0.001,16,5000
19,13.574020385742188,0.001,16,5000
20,13.337835550308228,0.001,16,5000
21,12.32339334487915,0.001,16,5000
22,12.724050998687744,0.001,16,5000
23,12.722759008407593,0.001,16,5000
24,12.318142414093018,0.001,16,5000
25,13.16023588180542,0.001,16,5000
26,12.668423891067505,0.001,16,5000
27,12.317698240280151,0.001,16,5000
28,16.5743350982666,0.001,16,5000
29,14.230755805969238,0.001,16,5000
30,13.635007619857788,0.001,16,5000
Average,12.55226024900164,0.001,16,5000
1,10.850014209747314,0.001,16,5000
2,10.630893230438232,0.001,16,5000
3,10.604325532913208,0.001,16,5000
4,11.069769859313965,0.001,16,5000
5,10.699211835861206,0.001,16,5000
Average,12.329583084583282,0.001,16,5000
