Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,36.85602021217346,0.95,0.001,16,5000,0.6,0.4
2,41.45562982559204,0.95,0.001,16,5000,0.6,0.4
3,42.55653643608093,0.95,0.001,16,5000,0.6,0.4
4,40.338321924209595,0.95,0.001,16,5000,0.6,0.4
5,40.259514808654785,0.95,0.001,16,5000,0.6,0.4
6,40.60051774978638,0.95,0.001,16,5000,0.6,0.4
7,40.55379676818848,0.95,0.001,16,5000,0.6,0.4
8,40.60024833679199,0.95,0.001,16,5000,0.6,0.4
9,40.56123161315918,0.95,0.001,16,5000,0.6,0.4
10,41.238765716552734,0.95,0.001,16,5000,0.6,0.4
11,40.783469676971436,0.95,0.001,16,5000,0.6,0.4
12,40.57908248901367,0.95,0.001,16,5000,0.6,0.4
13,40.950047731399536,0.95,0.001,16,5000,0.6,0.4
14,40.788227796554565,0.95,0.001,16,5000,0.6,0.4
15,40.694862604141235,0.95,0.001,16,5000,0.6,0.4
16,41.04369330406189,0.95,0.001,16,5000,0.6,0.4
17,40.856730222702026,0.95,0.001,16,5000,0.6,0.4
18,40.1200532913208,0.95,0.001,16,5000,0.6,0.4
19,40.20823311805725,0.95,0.001,16,5000,0.6,0.4
20,40.792795181274414,0.95,0.001,16,5000,0.6,0.4
21,40.083319664001465,0.95,0.001,16,5000,0.6,0.4
22,40.657334089279175,0.95,0.001,16,5000,0.6,0.4
23,40.49389290809631,0.95,0.001,16,5000,0.6,0.4
24,40.927014112472534,0.95,0.001,16,5000,0.6,0.4
25,40.71179556846619,0.95,0.001,16,5000,0.6,0.4
26,41.1593804359436,0.95,0.001,16,5000,0.6,0.4
27,40.91333627700806,0.95,0.001,16,5000,0.6,0.4
28,40.26519560813904,0.95,0.001,16,5000,0.6,0.4
29,40.12664723396301,0.95,0.001,16,5000,0.6,0.4
30,40.11773443222046,0.95,0.001,16,5000,0.6,0.4
Average,40.57644763787587,0.95,0.001,16,5000,0.6,0.4
