Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,39.85958504676819,0.99,0.001,16,5000,0.6,0.4
2,39.4648642539978,0.99,0.001,16,5000,0.6,0.4
3,38.831199407577515,0.99,0.001,16,5000,0.6,0.4
4,39.28267312049866,0.99,0.001,16,5000,0.6,0.4
5,38.78899431228638,0.99,0.001,16,5000,0.6,0.4
6,38.71652841567993,0.99,0.001,16,5000,0.6,0.4
7,44.63145732879639,0.99,0.001,16,5000,0.6,0.4
8,46.82063126564026,0.99,0.001,16,5000,0.6,0.4
9,44.70080304145813,0.99,0.001,16,5000,0.6,0.4
10,39.32891249656677,0.99,0.001,16,5000,0.6,0.4
11,39.141048192977905,0.99,0.001,16,5000,0.6,0.4
12,42.34746313095093,0.99,0.001,16,5000,0.6,0.4
13,42.8455867767334,0.99,0.001,16,5000,0.6,0.4
14,43.85867929458618,0.99,0.001,16,5000,0.6,0.4
15,39.61053490638733,0.99,0.001,16,5000,0.6,0.4
16,42.45749020576477,0.99,0.001,16,5000,0.6,0.4
17,43.136441469192505,0.99,0.001,16,5000,0.6,0.4
18,44.91606307029724,0.99,0.001,16,5000,0.6,0.4
19,39.655253410339355,0.99,0.001,16,5000,0.6,0.4
20,43.86722254753113,0.99,0.001,16,5000,0.6,0.4
21,41.2187705039978,0.99,0.001,16,5000,0.6,0.4
22,44.70679306983948,0.99,0.001,16,5000,0.6,0.4
23,43.82542276382446,0.99,0.001,16,5000,0.6,0.4
24,47.76815962791443,0.99,0.001,16,5000,0.6,0.4
25,43.79909110069275,0.99,0.001,16,5000,0.6,0.4
26,44.737749338150024,0.99,0.001,16,5000,0.6,0.4
27,44.223018646240234,0.99,0.001,16,5000,0.6,0.4
28,41.91859769821167,0.99,0.001,16,5000,0.6,0.4
29,43.56247544288635,0.99,0.001,16,5000,0.6,0.4
30,42.64462208747864,0.99,0.001,16,5000,0.6,0.4
Average,42.35553773244222,0.99,0.001,16,5000,0.6,0.4
