Run_ID,Training_Time,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,41.72187161445618,0.001,16,5000,0.6,0.4
2,48.73390865325928,0.001,16,5000,0.6,0.4
3,41.58722925186157,0.001,16,5000,0.6,0.4
4,51.534077167510986,0.001,16,5000,0.6,0.4
5,40.65405058860779,0.001,16,5000,0.6,0.4
6,42.01612210273743,0.001,16,5000,0.6,0.4
7,40.21604943275452,0.001,16,5000,0.6,0.4
8,41.197913646698,0.001,16,5000,0.6,0.4
9,38.91455292701721,0.001,16,5000,0.6,0.4
10,41.95580577850342,0.001,16,5000,0.6,0.4
11,39.75768756866455,0.001,16,5000,0.6,0.4
12,41.877684354782104,0.001,16,5000,0.6,0.4
13,40.6534640789032,0.001,16,5000,0.6,0.4
14,40.66526484489441,0.001,16,5000,0.6,0.4
15,40.9935405254364,0.001,16,5000,0.6,0.4
16,48.15072250366211,0.001,16,5000,0.6,0.4
17,41.169291973114014,0.001,16,5000,0.6,0.4
18,51.386329650878906,0.001,16,5000,0.6,0.4
19,42.033966302871704,0.001,16,5000,0.6,0.4
20,39.895514726638794,0.001,16,5000,0.6,0.4
21,40.744741439819336,0.001,16,5000,0.6,0.4
22,42.77026343345642,0.001,16,5000,0.6,0.4
23,45.319395542144775,0.001,16,5000,0.6,0.4
24,41.818639039993286,0.001,16,5000,0.6,0.4
25,45.236340284347534,0.001,16,5000,0.6,0.4
26,41.97170066833496,0.001,16,5000,0.6,0.4
27,42.275792598724365,0.001,16,5000,0.6,0.4
28,44.21787214279175,0.001,16,5000,0.6,0.4
29,44.70832276344299,0.001,16,5000,0.6,0.4
30,45.22544026374817,0.001,16,5000,0.6,0.4
Average,42.98011852900187,0.001,16,5000,0.6,0.4
1,37.68589448928833,0.001,16,5000,0.6,0.4
2,37.815433502197266,0.001,16,5000,0.6,0.4
3,37.727710247039795,0.001,16,5000,0.6,0.4
4,37.41275382041931,0.001,16,5000,0.6,0.4
5,40.33968257904053,0.001,16,5000,0.6,0.4
Average,42.29671515737261,0.001,16,5000,0.6,0.4
